scan_id,timestamp_s,location,run_id,ssid,channel,rssi,found
1,0.0,Master_Bedroom,run_01,Master_Bedroom,1,-62,1
2,3.0,Master_Bedroom,run_01,Master_Bedroom,1,-61,1
3,7.0,Master_Bedroom,run_01,Master_Bedroom,1,-61,1
4,10.0,Master_Bedroom,run_01,Master_Bedroom,1,-67,1
5,14.0,Master_Bedroom,run_01,Master_Bedroom,1,-72,1
6,17.0,Master_Bedroom,run_01,Master_Bedroom,1,-74,1
7,21.0,Master_Bedroom,run_01,Master_Bedroom,1,-73,1
8,24.0,Master_Bedroom,run_01,Master_Bedroom,1,-70,1
9,28.0,Master_Bedroom,run_01,Master_Bedroom,1,-70,1
10,31.0,Master_Bedroom,run_01,Master_Bedroom,1,-69,1
11,35.0,Master_Bedroom,run_01,Master_Bedroom,1,-70,1
12,38.0,Master_Bedroom,run_01,Master_Bedroom,1,-71,1
13,42.0,Master_Bedroom,run_01,Master_Bedroom,1,-70,1
14,45.0,Master_Bedroom,run_01,Master_Bedroom,1,-72,1
15,49.0,Master_Bedroom,run_01,Master_Bedroom,1,-75,1
16,52.0,Master_Bedroom,run_01,Master_Bedroom,1,-75,1
17,56.0,Master_Bedroom,run_01,Master_Bedroom,1,-68,1
18,59.0,Master_Bedroom,run_01,Master_Bedroom,1,-70,1
19,63.0,Master_Bedroom,run_01,Master_Bedroom,1,-65,1
20,66.0,Master_Bedroom,run_01,Master_Bedroom,1,-64,1
21,70.0,Master_Bedroom,run_01,Master_Bedroom,1,-68,1
22,73.0,Master_Bedroom,run_01,Master_Bedroom,1,-70,1
23,77.0,Master_Bedroom,run_01,Master_Bedroom,1,-69,1
24,80.0,Master_Bedroom,run_01,Master_Bedroom,1,-71,1
25,84.0,Master_Bedroom,run_01,Master_Bedroom,1,-72,1
26,87.0,Master_Bedroom,run_01,Master_Bedroom,1,-71,1
27,91.0,Master_Bedroom,run_01,Master_Bedroom,1,-70,1
28,95.0,Master_Bedroom,run_01,Master_Bedroom,1,-70,1
29,98.0,Master_Bedroom,run_01,Master_Bedroom,1,-73,1
30,102.0,Master_Bedroom,run_01,Master_Bedroom,1,-72,1
31,105.0,Master_Bedroom,run_01,Master_Bedroom,1,-69,1
32,109.0,Master_Bedroom,run_01,Master_Bedroom,1,-70,1
33,112.0,Master_Bedroom,run_01,Master_Bedroom,1,-71,1
34,116.0,Master_Bedroom,run_01,Master_Bedroom,1,-67,1
35,119.0,Master_Bedroom,run_01,Master_Bedroom,1,-70,1
36,123.0,Master_Bedroom,run_01,Master_Bedroom,1,-70,1
37,126.0,Master_Bedroom,run_01,Master_Bedroom,1,-68,1
38,130.0,Master_Bedroom,run_01,Master_Bedroom,1,-70,1
39,133.0,Master_Bedroom,run_01,Master_Bedroom,1,-68,1
40,137.0,Master_Bedroom,run_01,Master_Bedroom,1,-68,1
41,140.0,Master_Bedroom,run_01,Master_Bedroom,1,-68,1
42,144.0,Master_Bedroom,run_01,Master_Bedroom,1,-67,1
43,147.0,Master_Bedroom,run_01,Master_Bedroom,1,-67,1
44,151.0,Master_Bedroom,run_01,Master_Bedroom,1,-66,1
45,154.0,Master_Bedroom,run_01,Master_Bedroom,1,-67,1
46,158.0,Master_Bedroom,run_01,Master_Bedroom,1,-66,1
47,161.0,Master_Bedroom,run_01,Master_Bedroom,1,-65,1
48,165.0,Master_Bedroom,run_01,Master_Bedroom,1,-63,1
49,168.0,Master_Bedroom,run_01,Master_Bedroom,1,-68,1
50,172.0,Master_Bedroom,run_01,Master_Bedroom,1,-67,1
51,175.0,Master_Bedroom,run_01,Master_Bedroom,1,-66,1
52,179.0,Master_Bedroom,run_01,Master_Bedroom,1,-67,1
53,182.0,Master_Bedroom,run_01,Master_Bedroom,1,-66,1
54,186.0,Master_Bedroom,run_01,Master_Bedroom,1,-71,1
55,189.0,Master_Bedroom,run_01,Master_Bedroom,1,-67,1
56,193.0,Master_Bedroom,run_01,Master_Bedroom,1,-65,1
57,196.0,Master_Bedroom,run_01,Master_Bedroom,1,-65,1
58,200.0,Master_Bedroom,run_01,Master_Bedroom,1,-65,1
59,203.0,Master_Bedroom,run_01,Master_Bedroom,1,-65,1
60,207.0,Master_Bedroom,run_01,Master_Bedroom,1,-67,1
61,210.0,Master_Bedroom,run_01,Master_Bedroom,1,-68,1
62,214.0,Master_Bedroom,run_01,Master_Bedroom,1,-67,1
63,217.0,Master_Bedroom,run_01,Master_Bedroom,1,-66,1
64,221.0,Master_Bedroom,run_01,Master_Bedroom,1,-67,1
65,224.0,Master_Bedroom,run_01,Master_Bedroom,1,-67,1
66,228.0,Master_Bedroom,run_01,Master_Bedroom,1,-66,1
67,231.0,Master_Bedroom,run_01,Master_Bedroom,1,-69,1
68,235.0,Master_Bedroom,run_01,Master_Bedroom,1,-68,1
69,238.0,Master_Bedroom,run_01,Master_Bedroom,1,-66,1
70,242.0,Master_Bedroom,run_01,Master_Bedroom,1,-66,1
71,245.0,Master_Bedroom,run_01,Master_Bedroom,1,-66,1
72,249.0,Master_Bedroom,run_01,Master_Bedroom,1,-63,1
