scan_id,timestamp_s,location,run_id,ssid,channel,rssi,found
1,0.0,Spare_Room,run_02,Spare_Room,1,-68,1
2,3.0,Spare_Room,run_02,Spare_Room,1,-70,1
3,7.0,Spare_Room,run_02,Spare_Room,1,-72,1
4,10.0,Spare_Room,run_02,Spare_Room,1,-70,1
5,14.0,Spare_Room,run_02,Spare_Room,1,-71,1
6,17.0,Spare_Room,run_02,Spare_Room,1,-69,1
7,21.0,Spare_Room,run_02,Spare_Room,1,-71,1
8,24.0,Spare_Room,run_02,Spare_Room,1,-69,1
9,28.0,Spare_Room,run_02,Spare_Room,1,-69,1
10,31.0,Spare_Room,run_02,Spare_Room,1,-69,1
11,35.0,Spare_Room,run_02,Spare_Room,1,-70,1
12,38.0,Spare_Room,run_02,Spare_Room,1,-71,1
13,42.0,Spare_Room,run_02,Spare_Room,1,-71,1
14,45.0,Spare_Room,run_02,Spare_Room,1,-69,1
15,49.0,Spare_Room,run_02,Spare_Room,1,-72,1
16,52.0,Spare_Room,run_02,Spare_Room,1,-70,1
17,56.0,Spare_Room,run_02,Spare_Room,1,-72,1
18,59.0,Spare_Room,run_02,Spare_Room,1,-70,1
19,63.0,Spare_Room,run_02,Spare_Room,1,-68,1
20,66.0,Spare_Room,run_02,Spare_Room,1,-72,1
21,70.0,Spare_Room,run_02,Spare_Room,1,-70,1
22,73.0,Spare_Room,run_02,Spare_Room,1,-71,1
23,77.0,Spare_Room,run_02,Spare_Room,1,-71,1
24,80.0,Spare_Room,run_02,Spare_Room,1,-71,1
25,84.0,Spare_Room,run_02,Spare_Room,1,-70,1
26,87.0,Spare_Room,run_02,Spare_Room,1,-71,1
27,91.0,Spare_Room,run_02,Spare_Room,1,-72,1
28,94.0,Spare_Room,run_02,Spare_Room,1,-71,1
29,98.0,Spare_Room,run_02,Spare_Room,1,-74,1
30,101.0,Spare_Room,run_02,Spare_Room,1,-74,1
31,105.0,Spare_Room,run_02,Spare_Room,1,-67,1
32,108.0,Spare_Room,run_02,Spare_Room,1,-67,1
33,112.0,Spare_Room,run_02,Spare_Room,1,-67,1
34,115.0,Spare_Room,run_02,Spare_Room,1,-67,1
35,119.0,Spare_Room,run_02,Spare_Room,1,-67,1
36,123.0,Spare_Room,run_02,Spare_Room,1,-67,1
37,126.0,Spare_Room,run_02,Spare_Room,1,-67,1
38,130.0,Spare_Room,run_02,Spare_Room,1,-67,1
39,133.0,Spare_Room,run_02,Spare_Room,1,-67,1
40,137.0,Spare_Room,run_02,Spare_Room,1,-67,1
41,140.0,Spare_Room,run_02,Spare_Room,1,-67,1
42,144.0,Spare_Room,run_02,Spare_Room,1,-67,1
43,147.0,Spare_Room,run_02,Spare_Room,1,-67,1
44,151.0,Spare_Room,run_02,Spare_Room,1,-67,1
45,154.0,Spare_Room,run_02,Spare_Room,1,-67,1
46,158.0,Spare_Room,run_02,Spare_Room,1,-67,1
47,161.0,Spare_Room,run_02,Spare_Room,1,-67,1
48,165.0,Spare_Room,run_02,Spare_Room,1,-67,1
49,168.0,Spare_Room,run_02,Spare_Room,1,-67,1
50,172.0,Spare_Room,run_02,Spare_Room,1,-67,1
51,175.0,Spare_Room,run_02,Spare_Room,1,-66,1
52,179.0,Spare_Room,run_02,Spare_Room,1,-67,1
53,182.0,Spare_Room,run_02,Spare_Room,1,-67,1
54,186.0,Spare_Room,run_02,Spare_Room,1,-67,1
55,189.0,Spare_Room,run_02,Spare_Room,1,-67,1
56,193.0,Spare_Room,run_02,Spare_Room,1,-67,1
57,196.0,Spare_Room,run_02,Spare_Room,1,-67,1
58,200.0,Spare_Room,run_02,Spare_Room,1,-66,1
59,203.0,Spare_Room,run_02,Spare_Room,1,-67,1
60,207.0,Spare_Room,run_02,Spare_Room,1,-68,1
61,210.0,Spare_Room,run_02,Spare_Room,1,-69,1
62,214.0,Spare_Room,run_02,Spare_Room,1,-72,1
63,217.0,Spare_Room,run_02,Spare_Room,1,-69,1
64,221.0,Spare_Room,run_02,Spare_Room,1,-70,1
65,224.0,Spare_Room,run_02,Spare_Room,1,-70,1
66,228.0,Spare_Room,run_02,Spare_Room,1,-80,1
67,231.0,Spare_Room,run_02,Spare_Room,1,-69,1
68,235.0,Spare_Room,run_02,Spare_Room,1,-73,1
69,238.0,Spare_Room,run_02,Spare_Room,1,-73,1
70,242.0,Spare_Room,run_02,Spare_Room,1,-74,1
71,245.0,Spare_Room,run_02,Spare_Room,1,-72,1
72,249.0,Spare_Room,run_02,Spare_Room,1,-78,1
73,252.0,Spare_Room,run_02,Spare_Room,1,-77,1
74,256.0,Spare_Room,run_02,Spare_Room,1,-79,1
75,259.0,Spare_Room,run_02,Spare_Room,1,-77,1
76,263.0,Spare_Room,run_02,Spare_Room,1,-77,1
77,266.0,Spare_Room,run_02,Spare_Room,1,-74,1
78,270.0,Spare_Room,run_02,Spare_Room,1,-76,1
79,273.0,Spare_Room,run_02,Spare_Room,1,-77,1
80,277.0,Spare_Room,run_02,Spare_Room,1,-78,1
81,280.0,Spare_Room,run_02,Spare_Room,1,-76,1
82,284.0,Spare_Room,run_02,Spare_Room,1,-77,1
83,287.0,Spare_Room,run_02,Spare_Room,1,-79,1
84,291.0,Spare_Room,run_02,Spare_Room,1,-81,1
85,294.0,Spare_Room,run_02,Spare_Room,1,-71,1
86,298.0,Spare_Room,run_02,Spare_Room,1,-74,1
