scan_id,timestamp_s,location,run_id,ssid,channel,rssi,found
1,0.0,Kitchen,run_01,Kitchen_Test,1,-61,1
2,3.0,Kitchen,run_01,Kitchen_Test,1,-61,1
3,7.0,Kitchen,run_01,Kitchen_Test,1,-61,1
4,10.0,Kitchen,run_01,Kitchen_Test,1,-61,1
5,14.0,Kitchen,run_01,Kitchen_Test,1,-60,1
6,17.0,Kitchen,run_01,Kitchen_Test,1,-62,1
7,21.0,Kitchen,run_01,Kitchen_Test,1,-61,1
8,24.0,Kitchen,run_01,Kitchen_Test,1,-60,1
9,28.0,Kitchen,run_01,Kitchen_Test,1,-60,1
10,31.0,Kitchen,run_01,Kitchen_Test,1,-60,1
11,35.0,Kitchen,run_01,Kitchen_Test,1,-60,1
12,38.0,Kitchen,run_01,Kitchen_Test,1,-61,1
13,42.0,Kitchen,run_01,Kitchen_Test,1,-60,1
14,45.0,Kitchen,run_01,Kitchen_Test,1,-60,1
15,49.0,Kitchen,run_01,Kitchen_Test,1,-61,1
16,52.0,Kitchen,run_01,Kitchen_Test,1,-60,1
17,56.0,Kitchen,run_01,Kitchen_Test,1,-61,1
18,59.0,Kitchen,run_01,Kitchen_Test,1,-60,1
19,63.0,Kitchen,run_01,Kitchen_Test,1,-61,1
20,66.0,Kitchen,run_01,Kitchen_Test,1,-60,1
21,70.0,Kitchen,run_01,Kitchen_Test,1,-61,1
22,73.0,Kitchen,run_01,Kitchen_Test,1,-60,1
23,77.0,Kitchen,run_01,Kitchen_Test,1,-61,1
24,80.0,Kitchen,run_01,Kitchen_Test,1,-62,1
25,84.0,Kitchen,run_01,Kitchen_Test,1,-62,1
26,87.0,Kitchen,run_01,Kitchen_Test,1,-61,1
27,91.0,Kitchen,run_01,Kitchen_Test,1,-62,1
28,94.0,Kitchen,run_01,Kitchen_Test,1,-61,1
29,98.0,Kitchen,run_01,Kitchen_Test,1,-61,1
30,101.0,Kitchen,run_01,Kitchen_Test,1,-61,1
31,105.0,Kitchen,run_01,Kitchen_Test,1,-62,1
32,108.0,Kitchen,run_01,Kitchen_Test,1,-63,1
33,112.0,Kitchen,run_01,Kitchen_Test,1,-62,1
34,115.0,Kitchen,run_01,Kitchen_Test,1,-63,1
35,119.0,Kitchen,run_01,Kitchen_Test,1,-63,1
36,122.0,Kitchen,run_01,Kitchen_Test,1,-62,1
37,126.0,Kitchen,run_01,Kitchen_Test,1,-62,1
38,130.0,Kitchen,run_01,Kitchen_Test,1,-63,1
39,133.0,Kitchen,run_01,Kitchen_Test,1,-63,1
40,137.0,Kitchen,run_01,Kitchen_Test,1,-63,1
41,140.0,Kitchen,run_01,Kitchen_Test,1,-63,1
42,144.0,Kitchen,run_01,Kitchen_Test,1,-63,1
43,147.0,Kitchen,run_01,Kitchen_Test,1,-63,1
44,151.0,Kitchen,run_01,Kitchen_Test,1,-62,1
45,154.0,Kitchen,run_01,Kitchen_Test,1,-62,1
46,158.0,Kitchen,run_01,Kitchen_Test,1,-63,1
47,161.0,Kitchen,run_01,Kitchen_Test,1,-63,1
48,165.0,Kitchen,run_01,Kitchen_Test,1,-62,1
49,168.0,Kitchen,run_01,Kitchen_Test,1,-62,1
50,172.0,Kitchen,run_01,Kitchen_Test,1,-62,1
51,175.0,Kitchen,run_01,Kitchen_Test,1,-62,1
52,179.0,Kitchen,run_01,Kitchen_Test,1,-62,1
53,182.0,Kitchen,run_01,Kitchen_Test,1,-62,1
54,186.0,Kitchen,run_01,Kitchen_Test,1,-62,1
55,189.0,Kitchen,run_01,Kitchen_Test,1,-62,1
56,193.0,Kitchen,run_01,Kitchen_Test,1,-61,1
57,196.0,Kitchen,run_01,Kitchen_Test,1,-62,1
58,200.0,Kitchen,run_01,Kitchen_Test,1,-63,1
59,203.0,Kitchen,run_01,Kitchen_Test,1,-63,1
60,207.0,Kitchen,run_01,Kitchen_Test,1,-63,1
61,210.0,Kitchen,run_01,Kitchen_Test,1,-62,1
62,214.0,Kitchen,run_01,Kitchen_Test,1,-61,1
63,217.0,Kitchen,run_01,Kitchen_Test,1,-62,1
64,221.0,Kitchen,run_01,Kitchen_Test,1,-62,1
65,224.0,Kitchen,run_01,Kitchen_Test,1,-62,1
66,228.0,Kitchen,run_01,Kitchen_Test,1,-62,1
67,231.0,Kitchen,run_01,Kitchen_Test,1,-62,1
68,235.0,Kitchen,run_01,Kitchen_Test,1,-62,1
69,238.0,Kitchen,run_01,Kitchen_Test,1,-62,1
70,242.0,Kitchen,run_01,Kitchen_Test,1,-63,1
71,245.0,Kitchen,run_01,Kitchen_Test,1,-62,1
72,249.0,Kitchen,run_01,Kitchen_Test,1,-62,1
73,252.0,Kitchen,run_01,Kitchen_Test,1,-62,1
74,256.0,Kitchen,run_01,Kitchen_Test,1,-63,1
75,259.0,Kitchen,run_01,Kitchen_Test,1,-62,1
76,263.0,Kitchen,run_01,Kitchen_Test,1,-62,1
77,266.0,Kitchen,run_01,Kitchen_Test,1,-62,1
78,270.0,Kitchen,run_01,Kitchen_Test,1,-61,1
79,273.0,Kitchen,run_01,Kitchen_Test,1,-62,1
80,277.0,Kitchen,run_01,Kitchen_Test,1,-62,1
81,280.0,Kitchen,run_01,Kitchen_Test,1,-61,1
82,284.0,Kitchen,run_01,Kitchen_Test,1,-61,1
83,287.0,Kitchen,run_01,Kitchen_Test,1,-61,1
84,291.0,Kitchen,run_01,Kitchen_Test,1,-61,1
85,294.0,Kitchen,run_01,Kitchen_Test,1,-61,1
86,298.0,Kitchen,run_01,Kitchen_Test,1,-61,1
87,301.0,Kitchen,run_01,Kitchen_Test,1,-60,1
88,305.0,Kitchen,run_01,Kitchen_Test,1,-61,1
89,309.0,Kitchen,run_01,Kitchen_Test,1,-61,1
90,312.0,Kitchen,run_01,Kitchen_Test,1,-60,1
91,316.0,Kitchen,run_01,Kitchen_Test,1,-61,1
92,319.0,Kitchen,run_01,Kitchen_Test,1,-60,1
93,323.0,Kitchen,run_01,Kitchen_Test,1,-62,1
94,326.0,Kitchen,run_01,Kitchen_Test,1,-61,1
95,330.0,Kitchen,run_01,Kitchen_Test,1,-61,1
96,333.0,Kitchen,run_01,Kitchen_Test,1,-61,1
97,337.0,Kitchen,run_01,Kitchen_Test,1,-61,1
98,340.0,Kitchen,run_01,Kitchen_Test,1,-60,1
99,344.0,Kitchen,run_01,Kitchen_Test,1,-60,1
100,347.0,Kitchen,run_01,Kitchen_Test,1,-60,1
101,351.0,Kitchen,run_01,Kitchen_Test,1,-61,1
102,354.0,Kitchen,run_01,Kitchen_Test,1,-61,1
103,358.0,Kitchen,run_01,Kitchen_Test,1,-61,1
104,361.0,Kitchen,run_01,Kitchen_Test,1,-61,1
105,365.0,Kitchen,run_01,Kitchen_Test,1,-60,1
106,368.0,Kitchen,run_01,Kitchen_Test,1,-61,1
107,372.0,Kitchen,run_01,Kitchen_Test,1,-61,1
108,375.0,Kitchen,run_01,Kitchen_Test,1,-62,1
109,379.0,Kitchen,run_01,Kitchen_Test,1,-61,1
110,382.0,Kitchen,run_01,Kitchen_Test,1,-61,1
111,386.0,Kitchen,run_01,Kitchen_Test,1,-60,1
112,389.0,Kitchen,run_01,Kitchen_Test,1,-61,1
113,393.0,Kitchen,run_01,Kitchen_Test,1,-61,1
114,396.0,Kitchen,run_01,Kitchen_Test,1,-61,1
115,400.0,Kitchen,run_01,Kitchen_Test,1,-61,1
116,403.0,Kitchen,run_01,Kitchen_Test,1,-60,1
117,407.0,Kitchen,run_01,Kitchen_Test,1,-61,1
118,410.0,Kitchen,run_01,Kitchen_Test,1,-61,1
119,414.0,Kitchen,run_01,Kitchen_Test,1,-60,1
120,417.0,Kitchen,run_01,Kitchen_Test,1,-61,1
121,421.0,Kitchen,run_01,Kitchen_Test,1,-60,1
122,424.0,Kitchen,run_01,Kitchen_Test,1,-60,1
